package_path,source_path,source_sha256,package_sha256,operation
review_notes/Agent_current.md,Agent.md,c25fbf7285ca2f6da2cf70e5a244cef252c1149d083fe8005ba451369bdee71c,d6d8b4c39739ba9d398a0f9e9343c4aead51f733f8402d5539ef4638c0a18118,markdown_links_only
code/Algorithms/ALGORITHM.m,Algorithms/ALGORITHM.m,456c675ae92e70e892c5aa73b3c8205c02fcaf8888408b29910cf25e542ae054,456c675ae92e70e892c5aa73b3c8205c02fcaf8888408b29910cf25e542ae054,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/CBS_RegionWGAN_GP.m,Algorithms/Multi-objective optimization/CBS-CGAN/CBS_RegionWGAN_GP.m,4b06df14435b0fde766f2cb04747275f0dc7af9d4d0d13cb9b4da4180a47717a,4b06df14435b0fde766f2cb04747275f0dc7af9d4d0d13cb9b4da4180a47717a,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/AssignReferenceVectors_CBS.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/AssignReferenceVectors_CBS.m,52d6455dfb2a3fc12042b0da409ac67f7d752f61d84a3374c4246f88d75cde76,52d6455dfb2a3fc12042b0da409ac67f7d752f61d84a3374c4246f88d75cde76,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/BoundaryWGAN_RC.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/BoundaryWGAN_RC.m,75d1534590896391b2ecd2e84f40e1a4e6a88985a646a4a0238dcdd63aa13fa9,75d1534590896391b2ecd2e84f40e1a4e6a88985a646a4a0238dcdd63aa13fa9,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/BuildBoundaryDataset_RC.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/BuildBoundaryDataset_RC.m,62e85170599a6d69556c1ba7bf2fe9ca055f3c9e93ed3d8ccefd39eaff417311,62e85170599a6d69556c1ba7bf2fe9ca055f3c9e93ed3d8ccefd39eaff417311,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/CBS_RegionWGAN_GP_Core.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/CBS_RegionWGAN_GP_Core.m,e3c566bb4d13f656508ec9b265341ede10e5e3972f52777350e555e9d9994fee,e3c566bb4d13f656508ec9b265341ede10e5e3972f52777350e555e9d9994fee,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/CalFitness_CBS.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/CalFitness_CBS.m,b72f9be2229a7884e4d607e9801bb188af2e38170ebee5513443a71c24aa3b9e,b72f9be2229a7884e4d607e9801bb188af2e38170ebee5513443a71c24aa3b9e,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/EnvironmentalSelection_CBS.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/EnvironmentalSelection_CBS.m,82baee7067d7ba894cb7da0ce994442a35ca4d3ee74b84faf95fdd24d4622f72,82baee7067d7ba894cb7da0ce994442a35ca4d3ee74b84faf95fdd24d4622f72,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/OperatorDEDistinct_CBS.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/OperatorDEDistinct_CBS.m,6959ad00c4123e97186ea155c0b1f4683cf1b8b8cee0b1eaf383431bb3ada9a5,6959ad00c4123e97186ea155c0b1f4683cf1b8b8cee0b1eaf383431bb3ada9a5,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/PairBoundaryArchive_RC.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/PairBoundaryArchive_RC.m,db4fe76b002c6852af3c81f9fc484a20ebc39b5c7953466f20e6eac8ba9c5578,db4fe76b002c6852af3c81f9fc484a20ebc39b5c7953466f20e6eac8ba9c5578,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/PairBoundaryWGAN_RC.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/PairBoundaryWGAN_RC.m,0d9afd14c07904932ecfe140cb4d266d0a046fb89f4c1fd4389333f913621323,0d9afd14c07904932ecfe140cb4d266d0a046fb89f4c1fd4389333f913621323,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/PairGuideCore.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/PairGuideCore.m,f96a1e7b7210f2aa176d7042f76c243bbc34da86a3e5d6e9a5b242c89afbcfe2,f96a1e7b7210f2aa176d7042f76c243bbc34da86a3e5d6e9a5b242c89afbcfe2,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/PairGuideCost_RC.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/PairGuideCost_RC.m,c2edfdd0808daff698735459f441459d80b6e276ebb5b36b76569c7aba7b145f,c2edfdd0808daff698735459f441459d80b6e276ebb5b36b76569c7aba7b145f,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/RefineBoundaryObservations_RC.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/RefineBoundaryObservations_RC.m,420c1f11c8e31e793cc04d69d22b6c0a1d08cabba74d7c3a709ea060fccd096a,420c1f11c8e31e793cc04d69d22b6c0a1d08cabba74d7c3a709ea060fccd096a,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/RunRegionGAN_RC.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/RunRegionGAN_RC.m,2a98a82c4b4d2e629ab9cb2962d9e914a3a9aeb65af3476aebc9360e42e48ad5,2a98a82c4b4d2e629ab9cb2962d9e914a3a9aeb65af3476aebc9360e42e48ad5,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/UpdateBoundaryMemory_RC.m,Algorithms/Multi-objective optimization/CBS-CGAN/Core/UpdateBoundaryMemory_RC.m,159af30356b61a764ae244e34699cb00fbf88085ddf06846ff84342e697c118b,159af30356b61a764ae244e34699cb00fbf88085ddf06846ff84342e697c118b,copy
code/Algorithms/Multi-objective optimization/CBS-CGAN/PERFORMANCE_VERIFICATION_20260906.md,Algorithms/Multi-objective optimization/CBS-CGAN/PERFORMANCE_VERIFICATION_20260906.md,242f48b9c301f7eb3ecf329a0d109c3f5af0819f5b0ddb4d3d8a7003f970f4df,a803a39faa30afca87280f4129d1f416195735eb1ba77673eaf798d4d1be6c41,markdown_links_only
